Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
18,18,22-Apr,@,ARI,"L,5-11",40,35,5,11,2,0,1,5,5,0,9,0,0,0,0,3,0,0,0.25,0.34,0.41,0.75,8,15,L,R.Ray(34)
19,19,23-Apr,@,ARI,"W,6-2",39,34,6,9,4,0,1,5,5,0,5,0,0,0,0,1,0,0,0.251,0.341,0.413,0.754,6,13,R,S.Miller(40)
20,20,24-Apr,@,SFG,"L,1-2",31,29,1,4,0,0,0,1,2,0,6,0,0,0,0,0,0,1,0.246,0.335,0.401,0.736,3,13,R,M.Cain(70)
21,21,25-Apr,@,SFG,"W,2-1",37,32,2,7,1,0,0,2,4,1,7,0,1,0,0,1,1,0,0.245,0.334,0.394,0.728,8,13,L,T.Blach(52)
22,22,26-Apr,@,SFG,"L,3-4",41,39,3,9,1,0,1,3,2,0,6,0,0,0,0,0,0,0,0.244,0.33,0.391,0.721,8,14,R,J.Cueto(49)
23,23,27-Apr,@,SFG,"W,5-1",42,33,5,5,0,0,1,5,7,1,11,0,1,1,0,0,0,0,0.24,0.329,0.384,0.713,7,18,L,M.Moore(74)
24,24,28-Apr,,PHI,"W,5-3",37,33,5,10,2,0,0,4,3,0,5,0,0,1,1,0,0,0,0.242,0.33,0.383,0.713,8,13,R,J.Eickhoff(31)
25,25,29-Apr,,PHI,"W,6-5",39,37,6,11,1,0,5,6,1,0,7,1,0,0,0,0,0,0,0.245,0.33,0.399,0.729,7,15,R,Z.Eflin(65)
26,26,30-Apr,,PHI,"W,5-3",36,34,5,13,4,0,2,5,2,0,8,0,0,0,0,3,0,0,0.25,0.333,0.41,0.743,7,16,R,N.Pivetta(45)
27,27,1-May,,SFG,"L,3-4",34,33,3,6,1,0,0,3,1,0,8,0,0,0,0,0,0,0,0.248,0.329,0.402,0.731,4,12,R,J.Cueto(58)
28,28,2-May,,SFG,"W,13-5",43,32,13,11,2,1,1,13,9,0,5,1,0,1,0,1,1,0,0.251,0.335,0.408,0.743,6,15,L,M.Moore(10)
29,29,3-May,,SFG,"L,1-4",38,37,1,6,0,0,0,1,0,0,13,1,0,0,1,1,0,2,0.248,0.33,0.399,0.729,4,17,R,J.Samardzija(85)
30,30,5-May,@,SDP,"W,8-2",43,39,8,14,1,0,2,8,3,0,10,1,0,0,0,2,1,0,0.252,0.333,0.404,0.737,8,17,R,J.Chacin(56)
31,31,6-May,@,SDP,"W,10-2",42,31,10,8,2,0,1,8,9,0,9,1,1,0,0,3,1,0,0.252,0.337,0.404,0.741,5,14,L,C.Richard(32)
32,32,8-May,,PIT,"W,12-1",43,39,12,15,3,0,2,12,4,0,7,0,0,0,1,1,0,0,0.257,0.341,0.412,0.753,7,13,R,T.Williams(18)
33,33,9-May,,PIT,"W,4-3",45,41,4,13,3,0,1,4,2,0,8,1,1,0,0,1,1,0,0.259,0.342,0.414,0.756,12,19,R,I.Nova(51)
34,34,10-May,,PIT,"W,5-2",33,29,5,8,3,0,1,5,4,0,6,0,0,0,0,1,0,0,0.26,0.342,0.416,0.758,4,11,R,C.Kuhl(41)
35,35,11-May,@,COL,"L,7-10",43,40,7,14,5,1,1,6,3,0,11,0,0,0,0,1,0,0,0.263,0.344,0.422,0.766,9,16,R,J.Hoffman(50)
