Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
126,126,23-Aug,@,CLE,"W,6-1",38,35,6,8,1,0,2,5,2,0,14,1,0,0,0,0,0,0,0.263,0.335,0.413,0.748,5,9,R,C.Kluber(74)
127,127,24-Aug,@,CLE,"L,6-13",39,34,6,9,1,1,2,6,5,0,13,0,0,0,0,1,0,1,0.263,0.335,0.414,0.749,6,10,R,T.Bauer(43)
128,128,25-Aug,,BAL,"L,3-16",37,34,3,6,1,0,1,3,1,0,3,1,0,1,2,0,0,0,0.262,0.334,0.413,0.747,7,11,R,J.Hellickson(61)
129,129,26-Aug,,BAL,"L,0-7",34,30,0,4,1,0,0,0,4,0,6,0,0,0,0,1,0,0,0.261,0.333,0.411,0.745,7,9,R,K.Gausman(73)
130,130,27-Aug,,BAL,"L,1-2",41,33,1,8,4,0,0,1,8,0,8,0,0,0,0,1,0,1,0.261,0.334,0.411,0.745,13,12,L,W.Miley(50)
131,131,28-Aug,@,TOR,"W,6-5",41,37,6,12,3,0,2,5,4,1,6,0,0,0,0,2,2,0,0.262,0.334,0.412,0.747,8,9,R,M.Stroman(56)
132,132,29-Aug,@,TOR,"W,3-0",35,34,3,9,2,0,1,3,1,0,8,0,0,0,0,1,5,0,0.262,0.334,0.412,0.746,5,10,L,B.Anderson(56)
133,133,30-Aug,@,TOR,"W,7-1",41,35,7,10,4,0,2,7,6,0,6,0,0,0,0,1,4,0,0.262,0.334,0.414,0.748,7,10,L,J.Happ(58)
134,134,31-Aug,@,NYY,"L,2-6",41,31,2,4,0,0,0,2,8,0,8,2,0,0,2,0,1,1,0.261,0.334,0.412,0.746,12,11,L,C.Sabathia(61)
135,135,1-Sep,@,NYY,"W,4-1",36,35,4,7,0,0,3,4,1,0,13,0,0,0,0,0,1,0,0.261,0.334,0.412,0.746,5,10,R,S.Gray(59)
136,136,2-Sep,@,NYY,"L,1-5",34,32,1,6,1,0,0,0,2,0,7,0,0,0,0,0,0,1,0.26,0.333,0.411,0.744,6,9,R,M.Tanaka(64)
137,137,3-Sep,@,NYY,"L,2-9",36,34,2,5,1,0,0,1,2,0,15,0,0,0,2,0,1,0,0.259,0.332,0.409,0.741,7,14,R,L.Severino(75)
